AffixName|AffixID|AffixTitle|canRollOn|rerollChance|T1|T2|T3|T4|T5|T6|T7|Type|HueShift|Saturation|Group
Void Penetration|0|Inevitable|AMULET|0.7|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|PREFIX|0.769|-0.349|OffensiveIncrease
Increased Armour|1|of Defense|HELMET,BODY_ARMOR,BOOTS,SHIELD|0.4|0.1-0.12|0.13-0.16|0.17-0.21|0.22-0.26|0.27-0.32|0.4-0.48|0.49-0.6|SUFFIX|0.117|-0.3|PassiveDefense
Increased Melee Attack Speed|2|Deft|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_SWORD,GLOVES|0|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.15|0.18-0.23|0.24-0.3|PREFIX|0.173|0|OffensiveIncrease
Added Block Chance|3|Guardian's|SHIELD|0|0.02-0.03|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.12|0.15-0.18|0.19-0.24|PREFIX|0.046|0|PassiveDefense
Increased Cast Speed|4|Shade's|WAND,ONE_HANDED_SCEPTRE,ONE_HANDED_DAGGER,ONE_HANDED_FIST,TWO_HANDED_STAFF,GLOVES,CATALYST,RELIC|0|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.15|0.18-0.23|0.24-0.3|PREFIX|0.417|0|OffensiveIncrease
Increased Critical Strike Chance|5|Assassin's|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,CATALYST,AMULET,RING,RELIC,BOW,CROSSBOW,QUIVER,GLOVES|0.2|0.15-0.2|0.21-0.25|0.26-0.3|0.31-0.35|0.36-0.5|0.6-0.75|0.76-1|PREFIX|0.137|0|OffensiveIncrease
Added Critical Strike Multiplier|6|Eviscerating|RELIC,AMULET,ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,BOW,CROSSBOW,WAND,CATALYST|0.4|0.07-0.09|0.1-0.12|0.13-0.16|0.17-0.2|0.21-0.25|0.32-0.4|0.41-0.5|PREFIX|0.112|0|OffensiveAddition
Void Resistance|7|of Hope|HELMET,BODY_ARMOR,BELT,GLOVES,SHIELD,CATALYST,AMULET,RING,RELIC,BOOTS,QUIVER|0|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|SUFFIX|0.738|0|PassiveDefense
Added Dodge Rating|8|of Evasion|HELMET,BODY_ARMOR,BELT,BOOTS,GLOVES,AMULET,RING,CATALYST|0|15-25|26-36|37-48|49-60|61-80|100-125|126-160|SUFFIX|0.308|0|PassiveDefense
Increased Elemental Damage|9|Shimmering|AMULET,RING,CATALYST,WAND,ONE_HANDED_SCEPTRE,TWO_HANDED_STAFF|0|0.05-0.09|0.1-0.16|0.17-0.24|0.25-0.32|0.33-0.45|0.55-0.7|0.71-0.9|PREFIX|0.916|0|OffensiveIncrease
