AffixID|AffixName|LevelReq|Weight
31|Added Armor|0|12000
41|Health Gained on Block|15|1000
3|Added Block Chance|0|4000
81|Added Block Effectiveness|0|3000
17|Cold Resistance|8|5000
6|Added Critical Strike Multiplier|20|1000
8|Added Dodge Rating|0|10000
80|Elemental Resistance|27|8000
13|Fire Resistance|0|5000
25|Added Health|0|14500
24|Lightning Resistance|0|5000
34|Added Mana|0|3000
78|Added Melee Cold Damage|0|1000
62|Added Melee Crit Chance|0|2000
77|Added Melee Fire Damage|0|1000
79|Added Melee Lightning Damage|0|1000
63|Added Melee Physical Damage|0|1500
76|Added Melee Void Damage|0|1000
10|Necrotic Resistance|19|10000
19|Poison Resistance|10|10000
51|Added Stun Avoidance|13|1900
7|Void Resistance|6|10000
50|All Attributes|13|2000
504|Attunement|5|7000
49|Added Spell Damage For Swords|15|600
68|Chance To Bleed|0|1500
60|Chance To Blind|5|1000
56|Chance To Chill|0|1500
47|Chance To Chill Attackers|16|1000
55|Chance To Ignite|0|1500
54|Chance To Poison|13|1500
85|Chance To Shock|20|1500
94|Chance To Shock Attackers|33|400
57|Chance To Slow|0|1500
48|Chance To Slow Attackers|16|1000
97|Critical Strike Avoidance|36|2000
53|Damage Dealt To Mana|40|200
503|Dexterity|0|8000
11|Freeze Rate Multiplier|10|2440
20|Health On Kill|0|2500
44|Health On Melee Hit|0|2500
90|Health Regen|0|3000
1|Increased Armour|14|1000
46|All Resistances|55|120
4|Increased Cast Speed|0|1200
65|Increased Chance To Find Potions|5|1000
16|Increased Cold Damage|0|1000
27|Increased Cooldown Recovery Speed|6|700
5|Increased Critical Strike Chance|0|1000
72|Increased Damage Over Time|0|1000
59|Increased Dodge Rating|16|1000
9|Increased Elemental Damage|8|3400
12|Increased Fire Damage|0|2000
43|Increased Healing Effectiveness|15|1000
52|Increased Health|25|500
22|Increased Health Regen|0|2000
23|Increased Lightning Damage|0|2000
330|Increased Mana Regen|0|2500
2|Increased Melee Attack Speed|0|1200
89|Increased Melee Damage|0|2500
91|Increased Melee Stun Chance|0|1000
26|Increased Minion Damage|0|3000
64|Increased Minion Physical Damage|10|500
28|Increased Movement Speed|0|1000
18|Increased Necrotic Damage|6|2000
93|Necrotic Penetration|42|100
30|Increased Physical Damage|0|4000
61|Increased Poison Damage|11|2000
37|Poison Penetration|42|100
86|Armour Shred Chance|27|1000
84|Increased Spell Crit Chance|15|1000
38|Increased Spell Damage|0|3000
58|Increased Stun Chance|0|2000
88|Added Throwing Damage|0|3580
87|Increased Throwing Attack Speed|17|1000
15|Increased Void Damage|15|2000
0|Void Penetration|42|100
502|Intelligence|0|8000
21|Primalist Added Spell Damage With Tempest Strike|26|15
69|Melee Health Leech|10|1400
71|Minion Dodge Rating|30|1000
70|Minion Health|6|3000
73|Minion Health Regen|13|1000
96|Percent Damage Reflected|23|2000
83|Potion Health Converted to Ward|35|2800
74|Less Damage Taken on Block|0|1000
33|Physical Penetration|42|100
32|Fire Penetration|42|100
35|Cold Penetration|42|100
39|Lightning Penetration|42|100
501|Strength|0|8000
95|Thorns|4|1000
505|Vitality|0|9300
66|Ward On Potion Use|10|2200
98|Increased Minion Damage Over Time|48|500
99|Ward Gained on Kill|40|100
100|Increased Elemental Damage Over Time|50|500
102|Increased Minion Spell Damage|22|500
103|Damage While Channelling|38|500
104|All Resistances While Channelling|46|500
92|Endurance|19|1700
45|Physical Resistance|0|5647
331|Increased Mana|0|200
334|Primalist Totem Added Spell Damage|53|15
335|Primalist Cooldown Recovery Speed While Transformed|43|15
336|Primalist Minion Crit Multiplier|36|15
337|Primalist Minion Spell Crit Chance|41|15
338|Primalist Criti Multi While Transformed|48|15
339|Mage Cold Penetration With Frostbite|34|15
341|Freeze Rate Per Stack of Chill|42|15
342|Primalist Totem Increased Cast Speed|27|15
346|Primalist Minion Melee Leech|29|15
347|Primalist Minion Chance To Bleed On Hit|36|15
348|Primalist Minion Melee Crit Chance|46|15
349|Primalist Melee Damage While Transformed|28|15
350|Primalist Spell Damage While Transformed|39|15
351|Primalist Damage Over Time While Transformed|41|15
352|Primalist Increased Totem Crit Chance |57|15
353|Primalist Increased Aspect Of The Shark Effect|29|15
354|Primalist Increased Aspect Of The Boar Duration|36|15
355|Primalist Increased Aspect Of The Viper Effect|46|15
356|Primalist Increased Aspect Of The Lynx Effect|51|15
357|Primalist Increased Totem Damage|30|15
358|Sentinel Physical Penetration With Bleed|50|15
359|Sentinel Melee Physical Damage If Wielding A Sword|48|15
363|Sentinel Chance To Bleed If Wielding An Axe|41|15
364|Sentinel Melee Physical Damage If Wielding A Mace|57|15
365|Sentinel Void Damage Taken As Physical|34|15
366|Sentinel Necrotic Damage Taken As Physical|34|15
367|Sentinel Poison Damage Taken As Physical|34|15
368|Sentinel Increased Throwing Attack Crit Chance|48|15
369|Sentinel Reduced Channel Cost|36|15
370|Sentinel Armor Shred Effect|55|15
371|Sentinel Increased Fire Damage Over Time|32|15
372|Sentinel Increased Void Damage Over Time|32|15
373|Sentinel Increased Echo Damage When A Skill Echoes|60|15
374|Sentinel Increased Abyssal Decay Duration|43|15
375|Sentinel Mana Gained On Vengeance Hit|12|15
376|Sentinel Mana Gained On Rive Hit|12|15
377|Sentinel Mana Gained On Smite Use|23|15
378|Sentinel Increased Hammer Throw Damage|4|15
379|Sentinel Increased Shield Throw Crit Chance|18|15
380|Sentinel Increased Smelters Wrath Damage|50|15
381|Mage Spell Crit Doubled Over 300 Max Mana|48|15
382|Mage Ward Per Second|39|15
383|Mage Added Spell Damage While Channelling|43|15
384|Acolyte Minion Freeze Rate|53|15
385|Mage Lightning Crit Multi|60|15
386|Mage Spell Damage Leeched While Channelling|46|15
387|Mage Chance To Apply Frostbite With Cold Skills|27|15
388|Mage Increased Cold Damage Over Time|25|15
389|Mage Increased Fire Damage Over Time|25|15
390|Mage Increased Melee Elemental Damage|36|15
391|Mage Chance To Ignite With Fire Skills|41|15
392|Mage Chance To Shock With Lightning Skills|41|15
393|Mage Chance To Cast Fire Aura On Crit|57|15
394|Mage Increased Fire Aura Damage|29|15
395|Mage Chance To Gain Lightning Aegis When Hit|43|15
396|Mage Chance To Cast Fire Aura When Hit|27|15
398|Mage Chance To Cast Fire Aura On Kill With A Fire Skill|29|15
399|Mage Chance to Apply a Spark Charge on Melee Hit|32|15
400|Mage Mana Spent Gained as Ward|39|15
401|Acolyte Physical Damage While Transformed|25|15
402|Acolyte Necrotic Damage While Transformed|25|15
410|Acolyte Increased Skeletal Mage Damage|45|15
411|Acolyte Mana Gained On Harvest Use|13|15
412|Acolyte Leech With Harvest|6|15
413|Acolyte Minion Reflect|25|15
415|Acolyte Chance To Gain 20 Ward On Kill With Hungering Souls|8|15
420|Acolyte Spell Damage Per Skeletal Mage|25|15
421|Acolyte Chance To Apply Damned On Hit|34|15
422|Acolyte Damage Leeched As Health While Transformed|27|15
423|Acolyte Reduced Health Cost Of Spells|13|15
424|Acolyte Physical Spell Critical Strike Chance|41|15
425|Endurance Threshold|24|1100
427|Less Bonus Damage Taken from Critical Strikes|36|1500
428|Melee Frailty Chance|25|1000
429|Frailty Chance|25|1000
431|Increased Bow Damage|0|3500
432|Increased Bow Attack Speed|0|2000
433|Added Bow Physical Damage|0|1750
434|Added Bow Fire Damage|0|745
435|Acolyte Chance To Cast Marrow Shards When You Cast Transplant|13|15
437|Rogue Ward Gained when you create a Shadow|18|15
439|Rogue Increased Damage of Shadows|35|15
440|Rogue Health Gained on Glancing Blow|32|15
442|Rogue Dodge Rating if Hit Recently|25|15
443|Rogue Crimson Shroud Chance on Melee Hit|48|15
446|Rogue Increased Critical Strike Chance per Equipped Sword|41|15
448|Rogue Increased Critical Strike Chance per Equipped Dagger|41|15
449|Rogue Chance to gain Dusk Shroud When Hit|43|15
451|Rogue Bleed Chance per Equipped Sword|27|15
453|Rogue Poison Chance per Equipped Dagger|27|15
454|Rogue Dusk Shroud Chance on Melee Hit|36|15
457|Rogue Added Physical Throwing Damage while dual wielding|55|15
459|Rogue Increased damage while wielding a sword|29|15
461|Rogue Increased damage while wielding a dagger|29|15
463|Rogue Increased damage while wielding a bow|29|15
468|Rogue Fire Penetration With Ignite|55|15
469|Rogue Increased Poison Duration|55|15
471|Rogue Increased Throwing Physical Damage|41|15
473|Rogue Chance to Shred Armour on Throwing Hit|50|15
475|Rogue Chance to Shred Armour on Melee Hit|50|15
477|Rogue Chance to Shred Armour on Bow Hit|27|15
479|Rogue Armour Shred Effect|27|15
481|Rogue Increased Armour Shred Duration|27|15
483|Rogue Chance to Ignite on Bow Hit|55|15
485|Rogue Chance to Slow on Bow Hit|57|15
487|Rogue Physical Penetration With Shadow Daggers|55|15
489|Rogue Increased Bow Elemental Damage|27|15
494|Rogue Chance to Bleed on Bow Hit|27|15
496|Rogue Increased Area with Cinder Strike's First Strike|10|15
498|Rogue Increased crit chance with Flurry|4|15
500|Rogue Physical penetration with Puncture|5|15
509|Rogue Increased Area with Detonating Arrow|25|15
511|Rogue Increased damage per arrow with Multishot|25|15
513|Rogue Increased Hail of Arrows Duration|50|15
515|Rogue Increased damage per active Shadow with Shadow Cascade|25|15
517|Rogue Bleed Chance with Shurikens|14|15
521|Rogue Increased Acid Flask Area|4|15
524|Rogue Increased Dancing Strikes Area|25|15
526|Rogue Mana efficiency with Synchronised Strike|30|15
528|Rogue Mana efficiency with Decoy|13|15
530|Rogue Ward gained on use with Smoke Bomb|8|15
532|Rogue Ward gained on use with Shift|4|15
643|Increased Minion Melee Damage|18|1000
648|Primalist Storm Crow Added Spell Damage|36|15
40|Leech Rate|0|200
655|Sentinel Added Lightning Throwing Damage with Javelin|22|15
