AffixName|AffixID|Type1|Property1|T1|T2|T3|T4|T5|T6|T7|Type2|Property2|MT1|MT2|MT3|MT4|MT5|MT6|MT7
Added Armor|31|ADDED|Armour|6-20|21-35|36-55|56-80|81-110|140-180|181-240|x|x|x|x|x|x|x|x|x
Health Gained on Block|41|ADDED|HealthGain|3-3|4-4|5-6|7-8|9-12|15-19|20-25|x|x|x|x|x|x|x|x|x
Added Block Chance|3|ADDED|BlockChance|0.02-0.03|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.12|0.15-0.18|0.19-0.24|x|x|x|x|x|x|x|x|x
Added Block Effectiveness|81|ADDED|BlockEffectiveness|40-80|81-150|151-240|241-350|351-500|700-950|951-1300|x|x|x|x|x|x|x|x|x
Cold Resistance|17|ADDED|ColdResistance|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|x|x|x|x|x|x|x|x|x
Added Critical Strike Multiplier|6|ADDED|CriticalMultiplier|0.07-0.09|0.1-0.12|0.13-0.16|0.17-0.2|0.21-0.25|0.32-0.4|0.41-0.5|x|x|x|x|x|x|x|x|x
Added Dodge Rating|8|ADDED|DodgeRating|15-25|26-36|37-48|49-60|61-80|100-125|126-160|x|x|x|x|x|x|x|x|x
Elemental Resistance|80|ADDED|ElementalResistance|0.04-0.05|0.06-0.08|0.09-0.11|0.12-0.15|0.16-0.2|0.24-0.3|0.31-0.4|x|x|x|x|x|x|x|x|x
Fire Resistance|13|ADDED|FireResistance|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|x|x|x|x|x|x|x|x|x
Added Health|25|ADDED|Health|5-15|16-25|26-40|41-55|56-75|95-115|116-150|x|x|x|x|x|x|x|x|x
Lightning Resistance|24|ADDED|LightningResistance|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|x|x|x|x|x|x|x|x|x
